track,artist,album,date_added,plays,popularity,acousticness,danceability,speechiness,tempo,time_signature,valence,energy,liveness,instrumentalness
Hey,Pixies,Doolittle,2018-09-24,42,65,0.0,0.6,0.03,99,4,0.34,0.32,0.12,0.0
Lemon Glow,Beach House,7,2018-05-11,35,58,0.45,0.47,0.03,148,4,0.51,0.83,0.23,0.97
CLOUT COBAIN | CLOUT CO13A1N,Denzel Curry,TA13OO,2018-08-06,24,73,0.59,0.79,0.05,120,4,0.59,0.45,0.11,0.0
Drunk In LA,Beach House,7,2018-05-11,23,59,0.26,0.43,0.03,105,4,0.22,0.73,0.18,0.87
Helicopter,Deerhunter,Halcyon Digest,2018-08-30,23,58,0.22,0.5,0.04,73,4,0.42,0.72,0.26,0.5
Helicopter,Bloc Party,Silent Alarm,2018-03-20,23,58,0.0,0.47,0.13,170,4,0.41,0.95,0.4,0.0
Black Car,Beach House,7,2018-05-11,22,55,0.32,0.41,0.03,77,4,0.26,0.57,0.11,0.84
House Of Balloons / Glass Table Girls,The Weeknd,Trilogy,2018-03-30,21,22,0.01,0.66,0.04,89,4,0.32,0.71,0.31,0.0
Planet Telex,Radiohead,The Bends,2018-05-31,20,56,0.02,0.43,0.11,148,3,0.26,0.88,0.61,0.7
Holocene,Bon Iver,Bon Iver,2018-08-21,20,44,0.94,0.38,0.03,147,4,0.16,0.32,0.12,0.54
FAKE LOVE,BTS,Love Yourself 轉 'Tear',2018-06-30,19,82,0.0,0.56,0.04,77,4,0.34,0.72,0.31,0.0
Jesus Christ,Brand New,The Devil And God Are Raging Inside Me,2017-11-06,18,45,0.3,0.66,0.03,88,4,0.26,0.73,0.25,0.16
TABOO | TA13OO,Denzel Curry,TA13OO,2018-08-07,17,68,0.27,0.44,0.17,139,4,0.49,0.59,0.14,0.0
Street Spirit (Fade Out),Radiohead,The Bends,2018-05-31,17,61,0.31,0.49,0.03,138,4,0.13,0.45,0.18,0.69
Hangout at the Gallows,Father John Misty,God's Favorite Customer,2018-06-01,17,57,0.13,0.53,0.03,141,4,0.57,0.66,0.43,0.0
Sowing Season (Yeah),Brand New,The Devil And God Are Raging Inside Me,2017-11-06,16,36,0.01,0.48,0.04,114,3,0.2,0.7,0.2,0.09
Self Control,Frank Ocean,Blonde,2016-11-25,16,5,0.77,0.55,0.03,80,4,0.45,0.21,0.37,0.0
Ghost Town,Kanye West,ye,2018-06-01,16,78,0.1,0.57,0.03,83,4,0.33,0.54,0.33,0.0
Self Control,Frank Ocean,Blonde,2018-06-05,16,74,0.76,0.57,0.03,80,4,0.45,0.21,0.36,0.0
Intro: Singularity,BTS,Love Yourself 轉 'Tear',2018-06-30,15,73,0.55,0.78,0.09,104,3,0.2,0.27,0.11,0.0
Bruma,MØL,Jord,2018-06-19,15,32,0.0,0.38,0.07,95,4,0.12,0.92,0.08,0.86
Reborn,KIDS SEE GHOSTS,KIDS SEE GHOSTS,2018-06-12,15,79,0.34,0.58,0.04,100,4,0.23,0.6,0.2,0.04
Wakin on a Pretty Day,Kurt Vile,Wakin On A Pretty Daze,2018-09-01,15,58,0.05,0.38,0.04,101,4,0.55,0.78,0.26,0.75
These Streets Will Never Look The Same,Chromatics,Kill For Love,2018-08-20,15,34,0.01,0.68,0.04,107,4,0.27,0.89,0.82,0.25
Like Eating Glass,Bloc Party,Silent Alarm,2018-03-20,15,46,0.0,0.4,0.16,160,4,0.23,0.98,0.13,0.0
PERCS | PERCZ,Denzel Curry,TA13OO,2018-08-06,15,67,0.02,0.71,0.21,160,4,0.53,0.62,0.34,0.0
Blue Ridge Mountains,Fleet Foxes,Fleet Foxes,2018-04-01,15,59,0.69,0.52,0.03,97,4,0.27,0.45,0.1,0.0
PDA,Interpol,Turn On The Bright Lights: The Tenth Anniversary Edition (Remastered),2018-02-10,14,46,0.0,0.24,0.07,137,4,0.22,0.9,0.08,0.84
Obstacle 1,Interpol,Turn On The Bright Lights: The Tenth Anniversary Edition (Remastered),2018-02-10,14,58,0.0,0.37,0.06,120,4,0.39,0.94,0.07,0.68
The Wilhelm Scream,James Blake,James Blake,2018-07-19,14,36,0.77,0.55,0.16,170,4,0.38,0.29,0.09,0.92
Freeee (Ghost Town Pt. 2),KIDS SEE GHOSTS,KIDS SEE GHOSTS,2018-06-12,14,71,0.0,0.33,0.06,151,4,0.31,0.81,0.16,0.0
Wicked Games,The Weeknd,Trilogy,2018-03-30,14,34,0.01,0.41,0.04,111,4,0.32,0.58,0.37,0.0
Nude,Radiohead,In Rainbows,2018-03-23,14,62,0.83,0.54,0.03,128,3,0.16,0.34,0.09,0.6
Fake Plastic Trees,Radiohead,The Bends,2018-05-31,14,69,0.17,0.45,0.03,73,4,0.13,0.23,0.2,0.1
Perth,Bon Iver,Bon Iver,2018-08-21,13,29,0.87,0.49,0.05,120,4,0.07,0.44,0.32,0.54
Honeycomb,Deafheaven,Ordinary Corrupt Human Love,2018-07-14,13,48,0.0,0.22,0.1,142,4,0.11,0.96,0.11,0.79
Skinny Love,Bon Iver,"For Emma, Forever Ago",2016-09-21,13,49,0.84,0.59,0.05,76,4,0.11,0.26,0.14,0.0
Penumbra,MØL,Jord,2018-06-19,13,29,0.0,0.31,0.07,159,4,0.28,0.95,0.29,0.91
The Moon,The Microphones,"The Glow, Pt. 2",2018-02-13,13,46,0.4,0.2,0.07,149,4,0.16,0.72,0.14,0.79
All Mine,Kanye West,ye,2018-06-01,12,85,0.12,0.92,0.34,122,4,0.26,0.31,0.09,0.0
Seigfried,Frank Ocean,Blonde,2016-11-25,12,1,0.98,0.29,0.04,170,5,0.36,0.26,0.1,0.0
Mayonaise - Remastered,The Smashing Pumpkins,Siamese Dream (2011 - Remaster),2018-09-18,12,51,0.0,0.48,0.03,146,4,0.09,0.53,0.08,0.54
SWITCH IT UP | ZWITCH 1T UP,Denzel Curry,TA13OO,2018-08-06,12,69,0.01,0.57,0.29,128,4,0.27,0.72,0.26,0.0
Limousine,Brand New,The Devil And God Are Raging Inside Me,2017-11-06,12,33,0.24,0.41,0.04,76,4,0.16,0.58,0.19,0.01
Lazuli,Beach House,Bloom,2018-04-17,12,36,0.01,0.34,0.03,219,4,0.72,0.81,0.26,0.63
Cudi Montage,KIDS SEE GHOSTS,KIDS SEE GHOSTS,2018-06-12,12,73,0.4,0.73,0.03,110,4,0.3,0.5,0.12,0.0
Weird Fishes/ Arpeggi,Radiohead,In Rainbows,2018-03-23,12,67,0.77,0.54,0.04,153,4,0.2,0.61,0.09,0.75
White Winter Hymnal,Fleet Foxes,Fleet Foxes,2018-04-01,12,62,0.44,0.63,0.03,124,4,0.65,0.53,0.33,0.0
Seigfried,Frank Ocean,Blonde,2018-06-05,12,65,0.98,0.38,0.04,125,5,0.37,0.26,0.1,0.0
Reckoner,Radiohead,In Rainbows,2018-03-23,12,63,0.51,0.52,0.03,104,4,0.2,0.66,0.07,0.16
Lua,Bright Eyes,"I'm Wide Awake, It's Morning (Remastered)",2018-03-03,12,35,0.81,0.63,0.08,107,4,0.3,0.16,0.09,0.0
Telltale Signs,Sobs,Telltale Signs,2018-06-25,12,32,0.0,0.42,0.04,124,4,0.38,0.68,0.09,0.04
What You Need,The Weeknd,Trilogy,2018-03-30,12,26,0.47,0.49,0.07,134,4,0.09,0.41,0.15,0.16
Carissa,Sun Kil Moon,Benji,2018-09-14,12,43,0.95,0.63,0.03,97,3,0.42,0.23,0.11,0.0
High For This,The Weeknd,Trilogy,2018-03-30,12,31,0.74,0.45,0.07,74,4,0.08,0.44,0.07,0.0
Wash.,Bon Iver,Bon Iver,2018-08-21,11,28,0.99,0.32,0.03,163,3,0.33,0.15,0.08,0.15
Neighborhood #1 (Tunnels),Arcade Fire,Funeral,2018-09-18,11,60,0.06,0.28,0.03,126,4,0.21,0.74,0.29,0.01
"The Glow, Pt. 2",The Microphones,"The Glow, Pt. 2",2018-02-13,11,44,0.41,0.28,0.04,102,4,0.1,0.58,0.54,0.12
Flashing Lights,Kanye West,Graduation (UK Version),2018-03-23,11,63,0.04,0.64,0.04,90,4,0.43,0.63,0.39,0.0
Nappy Wonder,Blood Orange,Negro Swan,2018-08-24,11,60,0.8,0.66,0.08,88,4,0.16,0.48,0.1,0.0
4th Dimension,KIDS SEE GHOSTS,KIDS SEE GHOSTS,2018-06-12,11,76,0.28,0.76,0.39,171,4,0.73,0.54,0.61,0.0
Myth,Beach House,Bloom,2018-04-17,11,45,0.03,0.44,0.03,141,4,0.41,0.7,0.08,0.09
Canary Yellow,Deafheaven,Ordinary Corrupt Human Love,2018-07-14,11,47,0.0,0.28,0.05,92,4,0.22,0.97,0.26,0.91
Helplessness Blues,Fleet Foxes,Helplessness Blues,2018-09-01,11,29,0.08,0.32,0.03,125,3,0.2,0.46,0.1,0.0
Heartbeats,José González,Veneer,2017-11-01,11,67,0.97,0.55,0.03,87,4,0.32,0.15,0.07,0.73
Tiny Vessels,Death Cab for Cutie,Transatlanticism,2018-09-17,11,51,0.5,0.56,0.03,146,4,0.07,0.66,0.09,0.12
Dream House,Deafheaven,Sunbather,2017-01-11,11,45,0.0,0.12,0.08,82,4,0.1,0.8,0.38,0.92
The Hills,The Weeknd,Beauty Behind The Madness,2018-08-11,10,47,0.09,0.36,0.08,135,5,0.11,0.57,0.14,0.0
m.A.A.d city,Kendrick Lamar,"good kid, m.A.A.d city",2015-04-23,10,45,0.05,0.49,0.27,91,4,0.22,0.73,0.44,0.0
White Ferrari,Frank Ocean,Blonde,2016-11-25,10,3,0.78,0.44,0.04,108,4,0.23,0.09,0.3,0.0
Nights,Frank Ocean,Blonde,2016-11-25,10,5,0.42,0.46,0.16,89,4,0.45,0.55,0.11,0.0
Catch it,Iceage,Beyondless,2018-05-04,10,43,0.0,0.19,0.05,143,4,0.65,0.89,0.17,0.0
Millstone,Brand New,The Devil And God Are Raging Inside Me,2017-11-06,10,33,0.01,0.27,0.05,202,4,0.17,0.82,0.09,0.0
Nights,Frank Ocean,Blonde,2018-06-05,10,77,0.42,0.47,0.12,89,4,0.42,0.55,0.11,0.0
White Ferrari,Frank Ocean,Blonde,2018-06-05,10,69,0.78,0.44,0.04,108,4,0.22,0.09,0.3,0.0
Self Care,Mac Miller,Swimming,2018-08-07,10,88,0.37,0.52,0.21,141,4,0.18,0.54,0.12,0.0
Title And Registration,Death Cab for Cutie,Transatlanticism,2018-09-17,10,54,0.33,0.75,0.03,115,4,0.73,0.57,0.11,0.13
Somewhere a Judge,Hop Along,"Bark Your Head Off, Dog",2018-04-30,9,47,0.18,0.57,0.03,98,4,0.96,0.65,0.66,0.0
The Hours,Beach House,Bloom,2018-04-17,9,31,0.09,0.34,0.03,169,4,0.44,0.52,0.31,0.0
Saunter,Forth Wanderers,Forth Wanderers,2018-04-28,9,32,0.01,0.53,0.03,135,4,0.39,0.76,0.12,0.02
Dive,Beach House,7,2018-05-11,9,53,0.01,0.37,0.05,111,4,0.17,0.82,0.09,0.96
Today - Remastered,The Smashing Pumpkins,Siamese Dream (2011 - Remaster),2018-09-18,9,61,0.0,0.46,0.03,82,4,0.42,0.83,0.05,0.57
Blood Bank,Bon Iver,Blood Bank,2017-02-17,9,64,0.96,0.49,0.03,116,4,0.25,0.37,0.12,0.03
Motion Picture Soundtrack,Radiohead,Kid A,2018-03-07,9,55,0.92,0.13,0.03,93,4,0.04,0.13,0.13,0.7
Wake Up,Arcade Fire,Funeral,2017-07-17,9,66,0.12,0.25,0.04,139,4,0.29,0.8,0.12,0.05
Age Of Consent - 2015 Remastered Version,New Order,"Power, Corruption & Lies",2018-09-06,9,64,0.0,0.37,0.04,161,4,0.76,0.91,0.13,0.09
Flume,Bon Iver,"For Emma, Forever Ago",2016-09-21,9,35,0.92,0.49,0.03,66,4,0.08,0.15,0.11,0.08
Paranoid,Post Malone,beerbongs & bentleys,2018-05-01,9,83,0.04,0.61,0.14,159,4,0.24,0.55,0.17,0.0
The Wolves (Act I and II),Bon Iver,"For Emma, Forever Ago",2016-09-21,9,32,0.78,0.46,0.05,117,3,0.11,0.16,0.08,0.0
For Emma,Bon Iver,"For Emma, Forever Ago",2016-09-21,9,33,0.44,0.67,0.04,110,4,0.58,0.62,0.2,0.25
Michicant,Bon Iver,Bon Iver,2018-08-21,9,26,0.93,0.23,0.03,147,3,0.11,0.16,0.1,0.12
Ladies and Gentlemen We Are Floating in Space,Spiritualized,Ladies And Gentlemen We Are Floating In Space,2018-06-03,9,33,0.64,0.38,0.03,100,3,0.17,0.41,0.4,0.0
Drunk Drivers/Killer Whales,Car Seat Headrest,Teens Of Denial,2017-01-17,9,60,0.22,0.53,0.04,117,4,0.46,0.41,0.1,0.0
Desire Lines,Deerhunter,Halcyon Digest,2018-08-30,9,57,0.06,0.32,0.04,120,4,0.6,0.92,0.66,0.29
Just Dumb Enough to Try,Father John Misty,God's Favorite Customer,2018-06-01,9,53,0.28,0.59,0.03,116,4,0.42,0.49,0.06,0.0
Debaser,Pixies,Doolittle,2018-09-24,9,62,0.0,0.49,0.04,135,4,0.57,0.88,0.1,0.4
School Spirit,Kanye West,The College Dropout,2018-08-11,8,50,0.29,0.51,0.21,86,4,0.65,0.8,0.27,0.0
The Shrine / An Argument,Fleet Foxes,Helplessness Blues,2018-09-01,8,19,0.76,0.31,0.03,143,3,0.19,0.35,0.09,0.0
All Of The Lights,Kanye West,My Beautiful Dark Twisted Fantasy,2018-03-23,8,38,0.09,0.55,0.06,142,4,0.25,0.8,0.19,0.0
L'Inconnue,Beach House,7,2018-05-11,8,51,0.88,0.11,0.03,80,4,0.11,0.59,0.11,0.78
Tessellate,alt-J,An Awesome Wave,2017-09-21,8,61,0.38,0.68,0.04,116,4,0.42,0.61,0.12,0.04
The New Workout Plan,Kanye West,The College Dropout,2018-08-11,8,57,0.01,0.7,0.21,117,4,0.62,0.77,0.38,0.0
The Morning,The Weeknd,Trilogy,2018-03-30,8,30,0.34,0.66,0.04,120,4,0.22,0.56,0.1,0.0
Towers,Bon Iver,Bon Iver,2018-08-21,8,31,0.95,0.36,0.03,91,4,0.16,0.33,0.26,0.48
Brother Sport,Animal Collective,Merriweather Post Pavilion,2018-02-14,8,35,0.29,0.51,0.15,132,4,0.44,0.98,0.07,0.01
Poison Oak,Bright Eyes,"I'm Wide Awake, It's Morning (Remastered)",2018-03-03,8,34,0.12,0.48,0.03,47,4,0.17,0.19,0.13,0.01
Bloodhail,Have A Nice Life,Deathconsciousness,2018-09-28,8,46,0.03,0.18,0.03,75,3,0.41,0.61,0.17,0.01
BLACK BALLOONS | 13LACK 13ALLOONZ [FEAT. TWELVE'LEN & GOLDLINK | TWELVE'LEN + GOLDL1NK],Denzel Curry,TA13OO,2018-08-06,8,71,0.19,0.55,0.19,99,4,0.69,0.72,0.1,0.0
Dark Fantasy,Kanye West,My Beautiful Dark Twisted Fantasy,2018-03-23,8,29,0.3,0.57,0.05,87,4,0.42,0.57,0.17,0.0
Rebellion (Lies),Arcade Fire,Funeral,2017-07-17,8,66,0.01,0.4,0.03,127,4,0.73,0.93,0.32,0.63
