artist,plays
Radiohead,222
Beach House,216
Bon Iver,216
Kanye West,216
Fleet Foxes,188
Frank Ocean,165
The Weeknd,162
BROCKHAMPTON,144
Travi$ Scott,128
Denzel Curry,125
Pixies,121
Brand New,105
Kendrick Lamar,94
Bloc Party,89
Chromatics,89
alt-J,87
Haru Nemuri,79
Interpol,69
Kids See Ghosts,69
Deafheaven,67
Car Seat Headrest,63
Pulp,59
Deerhunter,58
Father John Misty,58
Death Cab for Cutie,56
Kurt Vile,56
Animal Collective,55
Stormzy,55
James Blake,53
Two Door Cinema Club,51
Pavement,47
The Cure,47
BTS,46
Foals,46
M83,45
møl,45
Bonobo,44
Deftones,41
Post Malone,38
Arcade Fire,37
Pinegrove,37
Have a Nice Life,36
Iceage,36
Anderson .Paak,35
Avenged Sevenfold,34
Arctic Monkeys,33
Neutral Milk Hotel,33
Glass Animals,32
Mac Miller,32
The Microphones,32
Tycho,31
Blood Orange,29
The Unicorns,29
Spiritualized,28
Sun Kil Moon,28
Bright Eyes,27
Fleetwood Mac,27
My Chemical Romance,27
SoBs,27
The Decemberists,27
The Smashing Pumpkins,25
Charli XCX,24
Harunemuri,24
Weezer,24
Built to Spill,22
Hop Along,22
The Strokes,20
Godspeed You! Black Emperor,19
New Order,19
Nine Inch Nails,19
Porter Robinson,19
Rae Sremmurd,19
Sampha,19
Tame Impala,18
Twenty One Pilots,18
John Mayer,17
Mid-Air Thief,17
Young Thug,17
Danny Brown,16
Eminem,16
Nirvana,16
Saba,16
Sufjan Stevens,16
The Temper Trap,16
Thundercat,16
Carnage,15
Cloud Nothings,15
Drake,15
Led Zeppelin,15
Migos,15
Panopticon,15
Forth Wanderers,14
Kaytranada,14
TesseracT,14
The Beach Boys,14
Unknown Mortal Orchestra,14
Bob Dylan,13
Explosions in the Sky,13
Grizzly Bear,13
José González,13
