artist,track
Animal Collective,lion in a coma
Animal Collective,taste
Animal Collective,in the flowers
Animal Collective,daily routine
Animal Collective,bluish
Animal Collective,my girls
Animal Collective,guys eyes
Animal Collective,no more runnin
Animal Collective,summertime clothes
Animal Collective,also frightened
Animal Collective,brother sport
Arcade Fire,neighborhood #4 (7 kettles)
Arcade Fire,wasted hours
Arcade Fire,half light i
Arcade Fire,month of may
Arcade Fire,suburban war
Arcade Fire,modern man
Arcade Fire,rococo
Arcade Fire,ready to start
Arcade Fire,empty room
Arcade Fire,sprawl ii (mountains beyond mountains)
Arcade Fire,we used to wait
Arcade Fire,neighborhood #2 (laika)
Arcade Fire,deep blue
Arcade Fire,crown of love
Arcade Fire,the suburbs
Arcade Fire,.DS_Store
Arcade Fire,neighborhood #3 (power out)
Arcade Fire,the suburbs (continued)
Arcade Fire,half light ii (no celebration)
Arcade Fire,in the backseat
Arcade Fire,haiti
Arcade Fire,une annee sans lumiere
Arcade Fire,neighborhood #1 (tunnels)
Arcade Fire,city with no children
Arcade Fire,wake up
Arcade Fire,sprawl i (flatland)
Arcade Fire,rebellion (lies)
Arctic Monkeys,a certain romance
Arctic Monkeys,when the sun goes down
Arctic Monkeys,balaclava
Arctic Monkeys,mardy bum
Arctic Monkeys,teddy picker
Arctic Monkeys,the bad thing
Arctic Monkeys,from the ritz to the rubble
Arctic Monkeys,you probably couldn't see for the lights but you were staring straight at me
Arctic Monkeys,this house is a circus
Arctic Monkeys,perhaps vampires is a bit strong but
Arctic Monkeys,only ones who know
Arctic Monkeys,still take you home
Arctic Monkeys,old yellow bricks
Arctic Monkeys,riot van
Arctic Monkeys,the view from the afternoon
Arctic Monkeys,red light indicates doors are secured
Arctic Monkeys,"if you were there, beware"
Arctic Monkeys,fluorescent adolescent
Arctic Monkeys,do me a favour
Arctic Monkeys,d is for dangerous
Arctic Monkeys,i bet you look good on the dancefloor
Arctic Monkeys,fake tales of san francisco
Arctic Monkeys,brianstorm
Arctic Monkeys,505
Arctic Monkeys,dancing shoes
Avenged Sevenfold,fiction
Avenged Sevenfold,so far away
Avenged Sevenfold,victim
Avenged Sevenfold,buried alive
Avenged Sevenfold,danger line
Avenged Sevenfold,god hates us
Avenged Sevenfold,nightmare
Avenged Sevenfold,welcome to the family
Avenged Sevenfold,natural born killer
Avenged Sevenfold,save me
