artist,track
Arcade Fire,une annee sans lumiere
Arcade Fire,neighborhood #2 (laika)
BROCKHAMPTON,sister/nation
Bon Iver,re:stacks
Bon Iver,beth/rest
Brand New,archers
Bright Eyes,land locked blues
Car Seat Headrest,drunk drivers/killer whales
Charli XCX,unlock it (feat. kim petras and jay park)
Charli XCX,delicious (feat. tommy cash)
Charli XCX,backseat (feat. carly rae jepsen)
Charli XCX,porsche (feat. mo)
Charli XCX,out of my head (feat. tove lo and alma)
Charli XCX,"i got it (feat. brooke candy, cupcakke and pabllo vittar)"
Charli XCX,tears (feat. caroline polachek)
Charli XCX,femmebot (feat. dorian electra and mykki blanco)
Deftones,back to school - mini maggit
Denzel Curry,sirens | z1renz [feat. j.i.d | j.1.d]
Denzel Curry,cash maniac | cazh man1ac [feat. nyyjerya]
Denzel Curry,vengeance | vengeance [feat. jpegmafia & zillakami | jpegmaf1a + z1llakam1]
Denzel Curry,black balloons | 13lack 13alloonz [feat. twelve'len & goldlink | twelve'len + goldl1nk]
Fleet Foxes,"cassius, -"
Fleet Foxes,on another ocean (january / june)
Fleet Foxes,i am all that i need / arroyo seco / thumbprint scar
Fleet Foxes,third of may / odaigahara
Fleet Foxes,the shrine / an argument
Fleet Foxes,the plains / bitter dancer
Fleetwood Mac,don't stop
Fleetwood Mac,i don't want to know
Frank Ocean,end
Godspeed You! Black Emperor,like antennas to heaven...
Have A Nice Life,telephony
John Mayer,good love is on the way
John Mayer,come when i call
John Mayer,everyday i have the blues
John Mayer,wait until tomorrow
John Mayer,who did you think i was
John Mayer,out of my mind
Kanye West,lil jimmy skit
Kanye West,school spirit skit 1
Kanye West,school spirit skit 2
Kanye West,good morning
Kendrick Lamar,for sale? - interlude
Kendrick Lamar,i
Kendrick Lamar,xxx. feat. u2.
Kendrick Lamar,loyalty. feat. rihanna.
Kendrick Lamar,swimming pools (drank) - extended version
Kendrick Lamar,for free? - interlude
MØL,penumbra
MØL,bruma
MØL,vakuum
MØL,storm
MØL,lambda
MØL,ligament
Neutral Milk Hotel,two headed boy part two
Neutral Milk Hotel,the king of carrot flowers parts two and three
Neutral Milk Hotel,two headed boy
Pulp,sorted for e's & wizz
Radiohead,weird fishes/ arpeggi
Tame Impala,love/paranoia
The Microphones,instrumental
The Microphones,(something) - 1
The Microphones,instrumental - 2
The Weeknd,the birds pt. 1
The Weeknd,the birds pt. 2
The Weeknd,xo / the host
The Weeknd,house of balloons / glass table girls
alt-J,(guitar)
alt-J,(piano)
alt-J,lovely day (bonus track)
alt-J,bloodflood pt.ii
alt-J,(the ripe & ruin)
