valence,energy,acousticness,speechiness,danceability,instrumentalness,liveness,mode
0.419,0.666,0.196,0.1,0.573,0.141,0.182,0.6
0.516,0.718,0.067,0.053,0.479,0.18,0.135,0.676
0.596,0.601,0.364,0.133,0.68,0.009,0.194,0.545
0.466,0.749,0.111,0.059,0.446,0.086,0.232,0.697
0.358,0.497,0.53,0.042,0.492,0.234,0.155,0.784
0.31,0.391,0.627,0.039,0.472,0.13,0.154,0.714
0.422,0.577,0.27,0.193,0.71,0.017,0.227,0.561
0.469,0.686,0.214,0.068,0.574,0.017,0.179,0.625
0.504,0.734,0.137,0.048,0.525,0.132,0.16,0.67
0.405,0.642,0.177,0.177,0.578,0.05,0.285,0.406
0.293,0.395,0.583,0.067,0.481,0.196,0.135,0.707
0.419,0.629,0.273,0.091,0.547,0.099,0.191,0.698
0.495,0.669,0.221,0.071,0.542,0.17,0.176,0.594
0.256,0.517,0.357,0.046,0.428,0.43,0.174,0.435
0.337,0.532,0.446,0.084,0.663,0.193,0.17,0.667
0.325,0.635,0.278,0.062,0.479,0.21,0.187,0.6
0.236,0.83,0.004,0.066,0.303,0.219,0.171,0.684
0.259,0.427,0.456,0.033,0.427,0.077,0.16,0.667
0.371,0.577,0.327,0.15,0.492,0.146,0.225,0.8
0.436,0.682,0.193,0.05,0.49,0.205,0.156,0.619
0.368,0.631,0.174,0.065,0.502,0.151,0.173,0.579
0.336,0.572,0.345,0.086,0.581,0.058,0.203,0.417
0.412,0.555,0.335,0.116,0.619,0.049,0.195,0.333
0.355,0.616,0.377,0.079,0.546,0.126,0.165,0.593
0.42,0.643,0.226,0.101,0.511,0.221,0.212,0.583
0.306,0.907,0.021,0.111,0.405,0.382,0.243,0.469
0.456,0.78,0.104,0.125,0.566,0.121,0.208,0.435
0.429,0.656,0.198,0.062,0.524,0.098,0.178,0.586
