,track,artist,albums,date,time
0,Love Is the Drug,Roxy Music,Roxy Music Collection,25 Sep 2018,15:45
1,Movin' On Up,Primal Scream,Screamadelica,25 Sep 2018,15:41
2,Teen Age Riot (album version),Sonic Youth,Daydream Nation (Deluxe Edition),25 Sep 2018,15:34
3,Cherry-Coloured Funk,Cocteau Twins,Heaven Or Las Vegas (Remastered),25 Sep 2018,15:31
4,Marquee Moon - Remastered,Television,Marquee Moon/Adventure/Live At The Waldorf [The Complete Elektra Recordings Plus Liner Notes],25 Sep 2018,15:20
5,Hey,Pixies,Doolittle,25 Sep 2018,15:17
6,Black Hole Sun,Soundgarden,Superunknown (Deluxe Edition),25 Sep 2018,15:10
7,Mayonaise - Remastered,The Smashing Pumpkins,Siamese Dream (Deluxe Edition),25 Sep 2018,15:04
8,Today - Remastered,The Smashing Pumpkins,Siamese Dream (2011 - Remaster),25 Sep 2018,15:01
9,Love Will Tear Us Apart,Joy Division,The Best Of,25 Sep 2018,14:57
10,Song 2 - 2012 Remastered Version,Blur,blur [Special Edition],25 Sep 2018,14:55
11,Losing My Religion,R.E.M.,Out Of Time (25th Anniversary Edition),25 Sep 2018,14:51
12,Where Is My Mind?,Pixies,Surfer Rosa (Remastered),25 Sep 2018,14:47
13,Hey,Pixies,Doolittle,25 Sep 2018,14:43
14,Daft Punk Is Playing at My House,LCD Soundsystem,LCD Soundsystem,25 Sep 2018,13:02
15,Someone Great,LCD Soundsystem,Sound Of Silver,25 Sep 2018,12:55
16,All My Friends,LCD Soundsystem,Sound Of Silver,25 Sep 2018,12:47
17,Family Tree,TV on the Radio,Dear Science (Bonus Track Version),25 Sep 2018,12:41
18,Golden Age,TV on the Radio,Dear Science (Bonus Track Version),25 Sep 2018,12:36
19,Stork & Owl,TV on the Radio,Dear Science (Bonus Track Version),25 Sep 2018,12:32
20,Dancing Choose,TV on the Radio,Dear Science (Bonus Track Version),25 Sep 2018,12:29
21,Crying,TV on the Radio,Dear Science (Bonus Track Version),25 Sep 2018,12:25
22,Halfway Home,TV on the Radio,Dear Science (Bonus Track Version),25 Sep 2018,12:20
23,Paris 1919,John Cale,Paris 1919,25 Sep 2018,12:16
24,Start Choppin',Dinosaur Jr.,Where You Been,25 Sep 2018,12:10
25,Corona,Minutemen,Double Nickels on the Dime,25 Sep 2018,12:08
26,Age Of Consent - 2015 Remastered Version,New Order,"Power, Corruption & Lies",25 Sep 2018,12:03
27,Blue Monday - 2016 Remastered Version,New Order,"Power, Corruption & Lies [Collector's Edition]",25 Sep 2018,11:55
28,Song 2 - 2012 Remastered Version,Blur,blur [Special Edition],25 Sep 2018,11:52
29,Where Is My Mind?,Pixies,Surfer Rosa (Remastered),25 Sep 2018,11:48
30,Today - Remastered,The Smashing Pumpkins,Siamese Dream (2011 - Remaster),25 Sep 2018,11:45
31,Interstate Love Song,Stone Temple Pilots,Purple,25 Sep 2018,11:42
32,Range Life,Pavement,"Crooked Rain, Crooked Rain: LA's Desert Origins",25 Sep 2018,11:37
33,Planet Telex,Radiohead,The Bends,25 Sep 2018,11:33
34,Street Spirit (Fade Out),Radiohead,The Bends,25 Sep 2018,11:06
35,Street Spirit (Fade Out),Radiohead,The Bends,25 Sep 2018,10:55
36,Fake Plastic Trees,Radiohead,The Bends,25 Sep 2018,10:50
37,Gold Soundz,Pavement,"Crooked Rain, Crooked Rain",25 Sep 2018,10:48
38,Cut Your Hair,Pavement,"Crooked Rain, Crooked Rain",25 Sep 2018,10:45
39,Losing My Religion,R.E.M.,Out Of Time (25th Anniversary Edition),25 Sep 2018,10:40
40,Mayonaise - Remastered,The Smashing Pumpkins,Siamese Dream (Deluxe Edition),25 Sep 2018,10:34
41,Smells Like Teen Spirit,Nirvana,Nevermind (Deluxe Edition),25 Sep 2018,10:29
42,All Apologies - MTV Unplugged,Nirvana,Nirvana,25 Sep 2018,10:25
43,Heart-Shaped Box,Nirvana,In Utero - 20th Anniversary - Deluxe Edition,25 Sep 2018,10:21
44,Feel the Pain,Dinosaur Jr.,Without a Sound,25 Sep 2018,10:16
45,Hey,Pixies,Doolittle,25 Sep 2018,10:13
46,Common People,Pulp,Different Class,25 Sep 2018,10:02
47,Loser,Beck,Mellow Gold,25 Sep 2018,09:58
48,Hey,Pixies,Doolittle,25 Sep 2018,09:54
49,Hey,Pixies,Doolittle,25 Sep 2018,09:49
50,Kettering,The Antlers,Hospice,25 Sep 2018,09:42
51,Prologue,The Antlers,Hospice,25 Sep 2018,09:40
52,Make Believe,Kero Kero Bonito,Make Believe,25 Sep 2018,09:37
53,TONYA,BROCKHAMPTON,iridescence,25 Sep 2018,09:33
54,J'OUVERT,BROCKHAMPTON,iridescence,25 Sep 2018,09:29
55,Too Real,Fidlar,Too Real,25 Sep 2018,09:25
56,TONYA,BROCKHAMPTON,iridescence,25 Sep 2018,09:20
57,Heart-Shaped Box,Nirvana,In Utero - 20th Anniversary - Deluxe Edition,24 Sep 2018,23:24
58,Black Hole Sun,Soundgarden,Superunknown (Deluxe Edition),24 Sep 2018,23:18
59,Mayonaise - Remastered,The Smashing Pumpkins,Siamese Dream (Deluxe Edition),24 Sep 2018,23:12
