acousticness,album,analysis_url,artist,danceability,date_added,duration_ms,energy,features,id,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,time_signature,track,trackID,track_href,type,uri,valence
0.14,To Be Kind,https://api.spotify.com/v1/audio-analysis/2wPJFjghtjN5PBqQOXutiv,Swans,0.439,2018-11-08,484532,0.638,2wPJFjghtjN5PBqQOXutiv,2wPJFjghtjN5PBqQOXutiv,0.79,2,0.696,-10.319,1,41,0.0623,142.673,3,Screen Shot,2wPJFjghtjN5PBqQOXutiv,https://api.spotify.com/v1/tracks/2wPJFjghtjN5PBqQOXutiv,audio_features,spotify:track:2wPJFjghtjN5PBqQOXutiv,0.442
0.384,To Be Kind,https://api.spotify.com/v1/audio-analysis/5tRCQR7kYu0voIpfMVqwT0,Swans,0.198,2018-11-08,502541,0.296,5tRCQR7kYu0voIpfMVqwT0,5tRCQR7kYu0voIpfMVqwT0,0.783,9,0.0935,-9.401,0,24,0.0347,78.014,3,To Be Kind,5tRCQR7kYu0voIpfMVqwT0,https://api.spotify.com/v1/tracks/5tRCQR7kYu0voIpfMVqwT0,audio_features,spotify:track:5tRCQR7kYu0voIpfMVqwT0,0.0394
0.0786,To Be Kind,https://api.spotify.com/v1/audio-analysis/4Nyxv0NzATwrMZUMAm7WOa,Swans,0.31,2018-11-08,759749,0.345,4Nyxv0NzATwrMZUMAm7WOa,4Nyxv0NzATwrMZUMAm7WOa,0.392,7,0.119,-11.414,1,30,0.0296,144.038,3,Just A Little Boy (For Chester Burnett),4Nyxv0NzATwrMZUMAm7WOa,https://api.spotify.com/v1/tracks/4Nyxv0NzATwrMZUMAm7WOa,audio_features,spotify:track:4Nyxv0NzATwrMZUMAm7WOa,0.113
0.0786,To Be Kind,https://api.spotify.com/v1/audio-analysis/4Nyxv0NzATwrMZUMAm7WOa,Swans,0.31,2018-11-08,759749,0.345,4Nyxv0NzATwrMZUMAm7WOa,4Nyxv0NzATwrMZUMAm7WOa,0.392,7,0.11900000000000001,-11.414000000000001,1,30,0.0296,144.03799999999998,3,Just A Little Boy (For Chester Burnett),4Nyxv0NzATwrMZUMAm7WOa,https://api.spotify.com/v1/tracks/4Nyxv0NzATwrMZUMAm7WOa,audio_features,spotify:track:4Nyxv0NzATwrMZUMAm7WOa,0.113
0.384,To Be Kind,https://api.spotify.com/v1/audio-analysis/5tRCQR7kYu0voIpfMVqwT0,Swans,0.198,2018-11-08,502541,0.29600000000000004,5tRCQR7kYu0voIpfMVqwT0,5tRCQR7kYu0voIpfMVqwT0,0.7829999999999999,9,0.0935,-9.401,0,24,0.0347,78.014,3,To Be Kind,5tRCQR7kYu0voIpfMVqwT0,https://api.spotify.com/v1/tracks/5tRCQR7kYu0voIpfMVqwT0,audio_features,spotify:track:5tRCQR7kYu0voIpfMVqwT0,0.0394
0.304,To Be Kind,https://api.spotify.com/v1/audio-analysis/4tttI5AR8UFExjrajvEFzn,Swans,0.193,2018-11-08,614965,0.642,4tttI5AR8UFExjrajvEFzn,4tttI5AR8UFExjrajvEFzn,0.866,2,0.0749,-9.613999999999999,1,22,0.0612,124.676,3,Nathalie Neal,4tttI5AR8UFExjrajvEFzn,https://api.spotify.com/v1/tracks/4tttI5AR8UFExjrajvEFzn,audio_features,spotify:track:4tttI5AR8UFExjrajvEFzn,0.0601
0.0589,To Be Kind,https://api.spotify.com/v1/audio-analysis/4Xuq7qkAItiEYDAYqwWTOp,Swans,0.28600000000000003,2018-11-08,479072,0.9179999999999999,4Xuq7qkAItiEYDAYqwWTOp,4Xuq7qkAItiEYDAYqwWTOp,0.0897,3,0.076,-7.46,1,28,0.114,156.338,4,Oxygen,4Xuq7qkAItiEYDAYqwWTOp,https://api.spotify.com/v1/tracks/4Xuq7qkAItiEYDAYqwWTOp,audio_features,spotify:track:4Xuq7qkAItiEYDAYqwWTOp,0.19399999999999998
0.358,To Be Kind,https://api.spotify.com/v1/audio-analysis/3GYKvNFKsNjyGJE7BeVWUk,Swans,0.125,2018-11-08,632439,0.382,3GYKvNFKsNjyGJE7BeVWUk,3GYKvNFKsNjyGJE7BeVWUk,0.95,0,0.13,-12.279000000000002,1,22,0.0491,181.213,3,Kirsten Supine,3GYKvNFKsNjyGJE7BeVWUk,https://api.spotify.com/v1/tracks/3GYKvNFKsNjyGJE7BeVWUk,audio_features,spotify:track:3GYKvNFKsNjyGJE7BeVWUk,0.0625
0.311,To Be Kind,https://api.spotify.com/v1/audio-analysis/0uLDc0EDoz7zvJvw2akUFK,Swans,0.222,2018-11-08,2045259,0.529,0uLDc0EDoz7zvJvw2akUFK,0uLDc0EDoz7zvJvw2akUFK,0.7509999999999999,2,0.10300000000000001,-9.574,1,29,0.049,117.189,4,Bring The Sun/Toussaint L'Ouverture,0uLDc0EDoz7zvJvw2akUFK,https://api.spotify.com/v1/tracks/0uLDc0EDoz7zvJvw2akUFK,audio_features,spotify:track:0uLDc0EDoz7zvJvw2akUFK,0.0407
0.151,To Be Kind,https://api.spotify.com/v1/audio-analysis/5SH4r0qP1mH7zj8BjR2Vq6,Swans,0.257,2018-11-08,1020807,0.8220000000000001,5SH4r0qP1mH7zj8BjR2Vq6,5SH4r0qP1mH7zj8BjR2Vq6,0.348,2,0.121,-8.474,1,25,0.0733,117.926,4,She Loves Us,5SH4r0qP1mH7zj8BjR2Vq6,https://api.spotify.com/v1/tracks/5SH4r0qP1mH7zj8BjR2Vq6,audio_features,spotify:track:5SH4r0qP1mH7zj8BjR2Vq6,0.174
